"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
300440,27,0,0,1,1,0,0,1,1,16
300441,27,1,1,1,1,1,0,1,1,12
300446,31,0,1,1,1,0,0,0,1,558
300450,31,1,0,1,1,0,0,1,1,132
300451,30,0,1,0,1,0,1,1,1,184
300455,62,0,1,0,1,0,0,1,1,571
300457,20,0,1,0,0,0,0,0,1,128
300459,19,0,1,0,1,0,1,0,1,55
300461,31,1,1,1,1,1,0,1,1,327
300463,23,0,0,1,0,0,0,0,1,532
300466,33,0,1,1,1,0,0,1,1,22
300468,18,0,1,1,1,0,0,1,1,7
300469,34,1,1,0,0,0,0,1,1,152
300470,31,1,1,1,0,0,0,1,0,561
300473,41,0,0,1,0,1,0,0,1,232
300474,40,1,1,0,1,0,1,1,1,288
300476,34,1,1,1,0,1,0,1,0,1028
300477,26,1,1,1,1,1,1,1,1,157
300478,39,1,1,1,0,0,0,1,1,163
300482,43,0,1,0,1,0,1,1,1,160
300484,26,0,0,0,1,0,1,1,1,73
300486,17,0,0,0,0,0,1,0,1,434
300488,32,0,1,1,1,0,0,1,1,736
300489,36,0,1,1,1,1,0,1,0,826
300490,20,1,0,1,0,0,0,0,0,976
300493,16,0,1,0,0,0,0,0,1,135
300495,28,0,0,1,1,0,1,1,1,8
300496,31,1,0,0,0,0,1,0,1,218
300499,23,0,0,1,0,0,0,1,1,42
300502,22,1,0,0,1,0,1,0,1,280
300503,34,0,1,1,1,1,1,1,1,60
300505,18,0,1,0,1,0,0,1,1,8
300507,25,0,0,1,0,0,0,1,1,250
300508,19,0,0,1,0,0,0,0,0,1118
300509,34,0,1,0,0,0,1,1,1,440
300511,30,0,0,1,1,0,0,0,1,36
300512,21,0,0,0,1,0,0,1,1,38
300515,17,1,0,0,0,0,0,0,1,144
300516,26,0,1,1,1,1,1,1,1,155
300517,37,0,1,1,0,1,1,0,1,75
300520,21,1,0,0,1,0,1,1,1,29
300521,22,0,1,1,0,1,0,1,1,20
300522,19,0,0,1,1,1,0,1,1,224
300523,29,0,1,1,0,1,1,1,1,176
300524,17,0,0,0,1,0,0,1,1,206
300527,44,0,1,1,0,0,0,0,1,116
300531,26,1,0,0,1,0,1,1,1,43
300534,41,1,0,1,1,1,0,1,1,2
